epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.10773,1.35067,0.56061,1,1.11667,0.0003125,0.0003125,0.0003125
2,8.3521,1.08084,0.65152,1,0.79071,0.000616462,0.000616462,0.000616462
3,12.1411,0.81314,0.63636,1,0.60157,0.000898975,0.000898975,0.000898975
4,15.6116,0.66283,0.60606,1,0.59372,0.00112625,0.00112625,0.00112625
5,19.1503,0.552,0.63636,1,0.79605,0.001085,0.001085,0.001085
6,22.6804,0.54249,0.63636,1,0.81991,0.00104375,0.00104375,0.00104375
7,26.2109,0.59208,0.66667,1,0.96793,0.0010025,0.0010025,0.0010025
8,29.9708,0.58244,0.62121,1,0.68183,0.00096125,0.00096125,0.00096125
9,33.5391,0.51375,0.65152,1,0.75961,0.00092,0.00092,0.00092
10,37.4252,0.45377,0.69697,1,0.70869,0.00087875,0.00087875,0.00087875
11,41.0548,0.40242,0.65152,1,0.64116,0.0008375,0.0008375,0.0008375
12,44.8932,0.40286,0.66667,1,0.71257,0.00079625,0.00079625,0.00079625
13,48.4949,0.44101,0.71212,1,0.62572,0.000755,0.000755,0.000755
14,52.1265,0.44294,0.69697,1,0.6582,0.00071375,0.00071375,0.00071375
15,56.3426,0.35394,0.62121,1,1.04688,0.0006725,0.0006725,0.0006725
16,60.3132,0.31788,0.65152,1,0.93609,0.00063125,0.00063125,0.00063125
17,64.0822,0.30928,0.63636,1,0.95851,0.00059,0.00059,0.00059
18,67.9319,0.35342,0.65152,1,1.03235,0.00054875,0.00054875,0.00054875
19,71.6147,0.38193,0.63636,1,0.75512,0.0005075,0.0005075,0.0005075
20,75.3129,0.3259,0.62121,1,0.99477,0.00046625,0.00046625,0.00046625
21,79.0626,0.29293,0.63636,1,0.85289,0.000425,0.000425,0.000425
22,82.9215,0.33514,0.63636,1,0.95014,0.00038375,0.00038375,0.00038375
23,86.614,0.36106,0.65152,1,0.92543,0.0003425,0.0003425,0.0003425
24,90.1816,0.27263,0.63636,1,1.10881,0.00030125,0.00030125,0.00030125
25,94.1178,0.31401,0.62121,1,1.01805,0.00026,0.00026,0.00026
26,97.7326,0.29689,0.59091,1,0.76256,0.00021875,0.00021875,0.00021875
27,101.489,0.30268,0.62121,1,0.77439,0.0001775,0.0001775,0.0001775
28,105.073,0.23543,0.63636,1,0.78942,0.00013625,0.00013625,0.00013625
29,108.561,0.30362,0.62121,1,0.75546,9.5e-05,9.5e-05,9.5e-05
30,112.264,0.24872,0.63636,1,0.85696,5.375e-05,5.375e-05,5.375e-05
